epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.338,1.6114,2.34311,1.15716,0.74298,0.15475,0.16721,0.10194,1.49683,1.44139,1.07347,0.000174768,0.000174768,0.000174768
2,445.019,1.49639,1.42531,1.1384,0.64102,0.16308,0.18069,0.10935,1.49654,1.34562,1.08352,0.000343169,0.000343169,0.000343169
3,665.896,1.46633,1.30897,1.12574,0.65347,0.17331,0.19372,0.1165,1.48531,1.30476,1.07531,0.000504627,0.000504627,0.000504627
4,885.695,1.45365,1.25122,1.12377,0.60102,0.18494,0.20599,0.1237,1.44636,1.20963,1.06969,0.000494756,0.000494756,0.000494756
5,1105.73,1.42657,1.19549,1.11652,0.50112,0.195,0.21441,0.1301,1.43248,1.16148,1.06955,0.000484341,0.000484341,0.000484341
6,1325.58,1.41502,1.15265,1.11077,0.49919,0.19619,0.21558,0.12866,1.43874,1.1806,1.07275,0.000473926,0.000473926,0.000473926
7,1545.4,1.39158,1.11671,1.1024,0.5305,0.20044,0.22392,0.13468,1.41283,1.13699,1.06064,0.000463511,0.000463511,0.000463511
8,1765.21,1.3882,1.0877,1.09675,0.54291,0.20473,0.23156,0.14072,1.40806,1.11786,1.06133,0.000453096,0.000453096,0.000453096
9,1984.48,1.38105,1.07508,1.09535,0.52235,0.20864,0.23088,0.13992,1.39347,1.10312,1.05795,0.000442682,0.000442682,0.000442682
10,2203.61,1.36475,1.04433,1.08918,0.53573,0.207,0.23166,0.14034,1.39257,1.08416,1.05673,0.000432267,0.000432267,0.000432267
11,2392.64,1.36363,1.03242,1.08536,0.49189,0.21811,0.24089,0.14583,1.3867,1.05866,1.05331,0.000421852,0.000421852,0.000421852
12,2529.25,1.35028,1.01931,1.08526,0.52931,0.21973,0.2425,0.14778,1.38028,1.0531,1.04804,0.000411437,0.000411437,0.000411437
13,2674.24,1.34091,1.00861,1.07944,0.53546,0.20823,0.23643,0.14329,1.37821,1.07002,1.04983,0.000401022,0.000401022,0.000401022
14,2894.17,1.33588,0.99008,1.07414,0.51442,0.21556,0.24214,0.14754,1.36865,1.04406,1.04861,0.000390608,0.000390608,0.000390608
15,3114.02,1.32554,0.9795,1.07053,0.54315,0.21095,0.23734,0.14498,1.37621,1.05632,1.05086,0.000380193,0.000380193,0.000380193
16,3335.06,1.31598,0.96689,1.06936,0.55805,0.21898,0.24714,0.15045,1.35928,1.02824,1.04195,0.000369778,0.000369778,0.000369778
17,3556.52,1.32223,0.96116,1.06763,0.51192,0.22896,0.25037,0.15201,1.3623,1.00588,1.03955,0.000359363,0.000359363,0.000359363
18,3777.24,1.3079,0.951,1.06449,0.52153,0.22214,0.24876,0.15177,1.35388,1.01764,1.03958,0.000348948,0.000348948,0.000348948
19,3996.62,1.3024,0.94349,1.06053,0.44719,0.2259,0.2472,0.15114,1.3529,1.01359,1.04158,0.000338534,0.000338534,0.000338534
20,4216.1,1.29412,0.93403,1.06167,0.50598,0.22242,0.24466,0.14919,1.34821,1.00635,1.03751,0.000328119,0.000328119,0.000328119
21,4436.32,1.29477,0.92324,1.05459,0.54437,0.22099,0.2486,0.15228,1.34367,0.99505,1.03749,0.000317704,0.000317704,0.000317704
22,4657.28,1.29202,0.92403,1.05662,0.47806,0.21905,0.24587,0.15086,1.34848,0.99849,1.03929,0.000307289,0.000307289,0.000307289
23,4878.6,1.28549,0.91265,1.05298,0.50379,0.22483,0.249,0.1525,1.34452,0.99297,1.03559,0.000296874,0.000296874,0.000296874
24,5087.14,1.2758,0.90527,1.05011,0.55481,0.22424,0.25174,0.15361,1.33622,0.9903,1.03448,0.00028646,0.00028646,0.00028646
25,5224.6,1.27384,0.90037,1.04965,0.50993,0.23024,0.25159,0.15438,1.33946,0.97627,1.03171,0.000276045,0.000276045,0.000276045
26,5363.88,1.26819,0.8925,1.04954,0.51307,0.22888,0.25311,0.15493,1.33425,0.98277,1.0364,0.00026563,0.00026563,0.00026563
27,5578.06,1.26147,0.88638,1.04582,0.52341,0.22711,0.25439,0.15564,1.33665,0.975,1.0352,0.000255215,0.000255215,0.000255215
28,5797.24,1.26354,0.88478,1.04792,0.52,0.22631,0.25583,0.15671,1.33949,0.97228,1.03209,0.0002448,0.0002448,0.0002448
29,6016.48,1.25681,0.87477,1.04374,0.53937,0.22889,0.25766,0.15677,1.3331,0.96897,1.02899,0.000234386,0.000234386,0.000234386
30,6235.38,1.25625,0.87786,1.04229,0.54137,0.22998,0.25846,0.1576,1.32916,0.95893,1.02987,0.000223971,0.000223971,0.000223971
31,6454.36,1.25171,0.87031,1.04083,0.53277,0.23,0.25806,0.15792,1.33742,0.96606,1.03273,0.000213556,0.000213556,0.000213556
32,6673.24,1.2478,0.86324,1.03931,0.5366,0.22803,0.25792,0.15793,1.32694,0.95914,1.02828,0.000203141,0.000203141,0.000203141
33,6892.26,1.24449,0.8611,1.03726,0.45842,0.23318,0.25864,0.15898,1.32475,0.95461,1.02531,0.000192726,0.000192726,0.000192726
34,7110.92,1.23603,0.85001,1.03608,0.45467,0.23162,0.25935,0.15986,1.32633,0.94988,1.02861,0.000182312,0.000182312,0.000182312
35,7330.29,1.23763,0.84764,1.03105,0.46891,0.23416,0.26095,0.15979,1.32489,0.946,1.02518,0.000171897,0.000171897,0.000171897
36,7549.32,1.23571,0.84559,1.03437,0.48678,0.23359,0.26054,0.16026,1.31864,0.94518,1.02704,0.000161482,0.000161482,0.000161482
37,7768.95,1.22583,0.83621,1.02848,0.45796,0.23876,0.26227,0.16132,1.31927,0.94251,1.02327,0.000151067,0.000151067,0.000151067
38,7919.6,1.22426,0.83036,1.02838,0.47243,0.23409,0.26211,0.16131,1.31802,0.93723,1.02516,0.000140652,0.000140652,0.000140652
39,8057.45,1.21825,0.82715,1.02474,0.47656,0.2312,0.26143,0.16077,1.31945,0.94046,1.02528,0.000130238,0.000130238,0.000130238
40,8250.63,1.21095,0.82115,1.02319,0.47612,0.23296,0.26224,0.16116,1.31579,0.93807,1.02324,0.000119823,0.000119823,0.000119823
41,8469.01,1.24189,0.82458,1.02399,0.48411,0.23082,0.25947,0.15963,1.32355,0.9508,1.02584,0.000109408,0.000109408,0.000109408
42,8686.62,1.22738,0.80729,1.01824,0.47548,0.235,0.2611,0.15966,1.32248,0.94536,1.02502,9.89932e-05,9.89932e-05,9.89932e-05
43,8903.76,1.2205,0.8011,1.01591,0.48156,0.2334,0.26097,0.16003,1.32055,0.94072,1.02508,8.85784e-05,8.85784e-05,8.85784e-05
44,9120.7,1.21518,0.79435,1.01335,0.4989,0.23154,0.26197,0.1606,1.31928,0.94123,1.02558,7.81636e-05,7.81636e-05,7.81636e-05
45,9337.85,1.20819,0.7879,1.01123,0.47962,0.23494,0.26125,0.16027,1.31923,0.93834,1.02543,6.77488e-05,6.77488e-05,6.77488e-05
46,9555.07,1.2009,0.78243,1.00823,0.48452,0.23377,0.26246,0.16122,1.31773,0.93267,1.02468,5.7334e-05,5.7334e-05,5.7334e-05
47,9773.27,1.20406,0.78124,1.00801,0.478,0.23411,0.26225,0.1613,1.31603,0.93043,1.02328,4.69192e-05,4.69192e-05,4.69192e-05
48,9990.48,1.20004,0.77871,1.00735,0.4852,0.236,0.26346,0.16126,1.31718,0.93395,1.02389,3.65044e-05,3.65044e-05,3.65044e-05
49,10208,1.19632,0.77312,1.00662,0.48416,0.23605,0.26306,0.16134,1.31469,0.92953,1.02359,2.60896e-05,2.60896e-05,2.60896e-05
50,10425.6,1.1894,0.76847,1.00421,0.49787,0.23461,0.26445,0.16222,1.31572,0.92866,1.02322,1.56748e-05,1.56748e-05,1.56748e-05
